"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"LA1777 LVS01 hydrophilic"	"LA1777 LVS02 hydrophilic"	"LA1777 LVS03 hydrophilic"	"LA1777 TRI01 hydrophilic"	"LA1777 TRI02 hydrophilic"	"LA1777 TRI03 hydrophilic"	"LA4024 LVS01 hydrophilic"	"LA4024 LVS02 hydrophilic"	"LA4024 LVS03 hydrophilic"	"LA4024 TRI01 hydrophilic"	"LA4024 TRI02 hydrophilic"	"LA4024 TRI03 hydrophilic"
"CHEBI:17835"	"C3H7O7P"	"OC[C@@H](OP(O)(O)=O)C(O)=O"	"InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/t2-/m1/s1"	"2-phospho-D-glycerate"	"184.98562"	""	""	""	"10.8"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"586015.618096546"	"540400.359517574"	"606575.214309915"	"281549.490133855"	"280437.745940325"	"337350.531610174"	"724440.895931045"	"788587.778774396"	"802141.610837071"	"159146.390288836"	"186435.293992777"	"198064.373275592"
"CHEBI:17794"	"C3H7O7P"	"O[C@H](COP(O)(O)=O)C(O)=O"	"InChI=1S/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/t2-/m1/s1"	"3-phospho-D-glycerate"	"184.98562"	""	""	""	"11.3"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"108930.988731982"	"111695.777540798"	"118632.355493981"	"62149.1638939288"	"73323.646086263"	"65215.3643481232"	"73517.8520478237"	"95633.2504606113"	"79501.668434574"	"48833.4458745995"	"56383.6728441373"	"51904.1394967807"
"CHEBI:30918"	"C7H8O5"	"O[C@@H]1CC(=CC(=O)[C@H]1O)C(O)=O"	"InChI=1S/C7H8O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,5-6,9-10H,2H2,(H,11,12)/t5-,6-/m1/s1"	"3-dehydroshikimate"	"171.0299"	""	""	""	"3.06"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"4870.1168052174"	"5968.9539580914"	"6921.1017822462"	"4322.6292234034"	"2859.2015042401"	"4552.84130137"	"5070.6115419667"	"8454.1324437172"	"9122.8684711968"	"1440.2161488506"	"2742.2473646997"	"3593.0380323886"
"CHEBI:48928"	"C6H13O10P"	"O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O"	"InChI=1S/C6H13O10P/c7-2(1-16-17(13,14)15)3(8)4(9)5(10)6(11)12/h2-5,7-10H,1H2,(H,11,12)(H2,13,14,15)/t2-,3-,4+,5-/m1/s1"	"D-gluconate 6-phosphate"	"275.01732"	""	""	""	"12.05"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"17555.233967945"	"19900.784153475"	"23967.3380231432"	"26418.0465844956"	"34383.8734773223"	"30405.9180029253"	"18840.3974025711"	"25782.1065657941"	"25551.9642866249"	"32310.035403608"	"24217.8185945653"	"30905.0638113974"
"CHEBI:15351"	"C23H38N7O17P3S"	"CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12"	"InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/t13-,16-,17-,18+,22-/m1/s1"	"acetyl-CoA"	"808.11852"	""	""	""	"17.76"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"16857.4863354521"	"17252.0700842184"	"17023.0013111529"	"45128.0060890618"	"58456.1216207947"	"58258.889810601"	"64857.8103098072"	"73414.6793750315"	"54627.0160242518"	"71756.0094098502"	"56647.3216307609"	"67773.9147378481"
"CHEBI:32805"	"C6H6O6"	"OC(=O)C\C(=C\C(O)=O)C(O)=O"	"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-"	"cis-aconitate"	"173.00912"	""	""	""	"12.29"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"51754.996196075"	"54119.866849116"	"60035.332901963"	"210918.316927804"	"246141.453292353"	"248617.899501443"	"20154.932798654"	"35400.7588200512"	"28798.9882317491"	"102239.053031082"	"110458.909744835"	"115472.803315932"
"CHEBI:16335"	"C10H13N5O4"	"Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"	"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1"	"adenosine"	"266.08952"	""	""	""	"2.21"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"460.3681812774"	"393.7126125759"	"515.0764469219"	"3977.8246529361"	"4726.6617399106"	"6505.6799885776"	"573.316963751"	"891.4714185338"	"2343.278135738"	"688.0213830014"	"489.7207652222"	"396.5736668845"
"CHEBI:16761"	"C10H15N5O10P2"	"Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O"	"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"	"ADP"	"426.02214"	""	""	""	"13.53"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"297864.786378918"	"369257.900406575"	"356290.293828675"	"594962.026983129"	"657291.179128274"	"766347.534545692"	"583746.942090515"	"685218.007097913"	"626488.000956582"	"261595.144890857"	"232885.734633562"	"268079.927457054"
"CHEBI:15751"	"C16H25N5O15P2"	"Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O"	"InChI=1S/C16H25N5O15P2/c17-13-7-14(19-3-18-13)21(4-20-7)15-11(26)9(24)6(33-15)2-32-37(28,29)36-38(30,31)35-16-12(27)10(25)8(23)5(1-22)34-16/h3-6,8-12,15-16,22-27H,1-2H2,(H,28,29)(H,30,31)(H2,17,18,19)/t5-,6-,8-,9-,10+,11-,12-,15-,16-/m1/s1"	"adenosine-5′-diphosphoglucose"	"588.07492"	""	""	""	"9.64"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"55173.724209267"	"58631.1157549525"	"63897.582750048"	"14655.0103270617"	"19261.0188052805"	"18959.822942441"	"65210.354663745"	"68360.8637714506"	"78467.0953877135"	"8830.0012758407"	"8487.28797503"	"9812.1292981037"
"CHEBI:16864"	"C15H23N5O14P2"	"Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC2O[C@H](CO)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O"	"InChI=1S/C15H23N5O14P2/c16-12-7-13(18-3-17-12)20(4-19-7)14-10(24)9(23)6(31-14)2-30-35(26,27)34-36(28,29)33-15-11(25)8(22)5(1-21)32-15/h3-6,8-11,14-15,21-25H,1-2H2,(H,26,27)(H,28,29)(H2,16,17,18)/t5-,6-,8-,9-,10-,11-,14-,15?/m1/s1"	"adenosine 5'-diphosphoribose"	"558.06442"	""	""	""	"9.89"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"1391.4554286068"	"1695.4255714964"	"1739.8762853181"	"6746.8211114034"	"6846.7825598188"	"5139.7508851746"	"6516.5327407606"	"8117.0845144719"	"7257.1559210533"	"13902.1679043613"	"7642.6278006875"	"12345.6732154302"
