"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"LA1777 LVS01 semi-polar"	"LA1777 LVS02 semi-polar"	"LA1777 LVS03 semi-polar"	"LA1777 TRI01 semi-polar"	"LA1777 TRI02 semi-polar"	"LA1777 TRI03 semi-polar"	"LA4024 LVS01 semi-polar"	"LA4024 LVS02 semi-polar"	"LA4024 LVS03 semi-polar"	"LA4024 TRI01 semi-polar"	"LA4024 TRI02 semi-polar"	"LA4024 TRI03 semi-polar"
""	""	""	""	""	"85.0047"	""	""	""	"16.75"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"122.2693034935"	"0"	"266.5044182348"	"284.4517459488"	"201.3843662262"	"254.5647265244"	"222.5161603546"	"936.5607404327"	"2219.6947893524"	"156.3433491707"	"190.8287459612"	"151.9983874766"
""	""	""	""	""	"85.0057"	""	""	""	"15.32"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"973.9625029945"	"454.2933819103"	"84.2238282585"	"691.7611967468"	"554.6049467468"	"470.1615144348"	"100.9777932072"	"0"	"265.6553960037"	"961.094568793"	"635.7064689287"	"742.115172774"
""	""	""	""	""	"85.0058"	""	""	""	"17.5"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"4889.6260645294"	"5149.4539502811"	"5686.9927027321"	"101.9648368073"	"252.3446487427"	"132.5047913361"	"3201.6373839188"	"2644.6989332962"	"1266.6638589478"	"0"	"0"	"107.9947647285"
""	""	""	""	""	"85.0058"	""	""	""	"8.97"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"86.0222839749"	"244.1430757427"	"206.7670056438"	"45.5032282448"	"21.7365406227"	"0"	"0"	"39.0189797115"	"25.0859252143"	"118.0311483057"	"320.2677214646"	"300.3984106"
""	""	""	""	""	"103.0408"	""	""	""	"0.87"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"81.1728197443"	"493.6744102764"	"697.914704361"	"189.7341747475"	"238.5769054896"	"235.0809833866"	"607.2205499029"	"583.0101656485"	"384.3923813438"	"502.8399553688"	"415.71684931"	"442.4514066458"
""	""	""	""	""	"104.0172"	""	""	""	"19.86"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5.8349776272"	"21.5628984483"
""	""	""	""	""	"109.0053"	""	""	""	"18.58"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"259.0148727942"	"177.5579426575"	"5.7722312784"	"93.1853370667"	"47.0960656214"	"86.0915424919"	"25.1777915692"	"0"	"0"	"0"
""	""	""	""	""	"116.9294"	""	""	""	"18.83"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"1121.7181992215"	"882.5244820154"	"900.1209368199"	"979.636161499"	"377.670742197"	"1821.5605030728"	"790.5273078626"	"960.9183823586"	"830.6047601604"	"3104.9159575923"	"3232.854008495"	"3530.2559464518"
""	""	""	""	""	"117.0196"	""	""	""	"0.89"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"621.5353217137"	"509.6157534242"	"845.8762787229"	"127.7226526785"	"150.4217349744"	"151.5165576625"	"634.7428149366"	"772.473843801"	"456.8832262981"	"636.4399530939"	"579.4514277562"	"534.3769812552"
""	""	""	""	""	"121.03"	""	""	""	"6.02"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"3695.7693650484"	"3663.9661224604"	"3628.2085451591"	"1506.793051486"	"1426.2087425804"	"1748.4893624878"	"5229.4815662909"	"4250.6407437611"	"3973.1307065248"	"5578.02684189"	"6141.2767837429"	"7761.3380392329"
""	""	""	""	""	"121.0301"	""	""	""	"4.44"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"122.0895583373"	"128.205267739"	"140.3570380402"	"138.6815777683"	"122.2987787724"	"140.440687623"	"52.7617099619"	"59.5045096374"	"45.3230097151"	"172.7428999201"	"142.2742833964"	"166.2860318551"
""	""	""	""	""	"133.0152"	""	""	""	"0.67"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"3216.4242029381"	"3271.3771923351"	"3958.7709629059"	"1552.7588508987"	"1463.1762968922"	"1488.8773695755"	"4132.5235704804"	"4836.8636222362"	"2518.0680873346"	"3597.3590737216"	"2990.5570060508"	"3838.4404768213"
""	""	""	""	""	"135.0304"	""	""	""	"0.64"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"536.6141895059"	"576.0460184586"	"851.7487681097"	"124.7668943572"	"98.9028393555"	"243.3566950154"	"2318.4831667245"	"2245.1883898449"	"916.4022436595"	"503.5042803526"	"361.0578399165"	"484.6325220044"
